symbol,group,date,hour,exchange
R,ATW,2018-01-01,16:00,yobit
DALC,ATW,2018-01-02,16:00,yobit
LRC,ATW,2018-01-03,15:59,yobit
SEL,ATW,2018-01-04,16:03,yobit
LUN,ATW,2018-01-05,16:00,yobit
PAL,ATW,2018-01-06,15:59,yobit
ETL,ATW,2018-01-07,15:59,yobit
GELD,ATW,2018-01-09,15:59,yobit
NET,ATW,2018-01-10,16:00,yobit
AMM,ATW,2018-01-11,16:00,yobit
NET,ATW,2018-01-12,16:00,yobit
BNT,ATW,2018-01-13,16:00,yobit
XRL,ATW,2018-01-14,16:00,yobit
GELD,ATW,2018-01-15,16:00,yobit
BNT,ATW,2018-01-16,16:00,yobit
NET,ATW,2018-01-17,16:00,yobit
SAN,ATW,2018-01-18,16:00,yobit
NET,ATW,2018-01-19,16:00,yobit
MGO,ATW,2018-01-20,16:00,yobit
IND,ATW,2018-01-21,16:00,yobit
ADT,ATW,2018-01-22,17:30,yobit
8BIT,ATW,2018-01-23,17:30,yobit
HDG,ATW,2018-01-24,17:30,yobit
EET,ATW,2018-01-25,17:30,yobit
SBIT,ATW,2018-01-26,17:30,yobit
SEL,ATW,2018-01-27,17:30,yobit
ADT,ATW,2018-01-28,17:30,yobit
8BIT,ATW,2018-01-29,17:30,yobit
NMR,ATW,2018-01-31,17:29,yobit
SRNT,ATW,2018-02-01,17:30,yobit
STY,ATW,2018-02-03,17:36,yobit
U,ATW,2018-02-04,17:02,yobit
IND,ATW,2018-02-05,17:30,yobit
MGO,ATW,2018-02-06,17:30,yobit
BNT,ATW,2018-02-07,17:29,yobit
SWT,ATW,2018-02-08,17:30,yobit
OCEAN,ATW,2018-02-09,17:00,yobit
GREENF,ATW,2018-02-10,17:00,yobit
REA,ATW,2018-02-11,17:00,yobit
SRNT,ATW,2018-02-12,17:00,yobit
CLR,ATW,2018-02-13,17:00,yobit
SEV,ATW,2018-02-14,17:00,yobit
IND,ATW,2018-02-15,17:00,yobit
TES,ATW,2018-02-15,18:00,yobit
IND,ATW,2018-02-16,17:00,yobit
NETKO,ATW,2018-02-17,17:00,yobit
TES,ATW,2018-02-18,17:00,yobit
XMG,ATW,2018-02-19,17:00,yobit
IXT,ATW,2018-02-20,17:00,yobit
DRACO,ATW,2018-02-21,17:00,yobit
BNT,ATW,2018-02-22,17:00,yobit
TIME,ATW,2018-02-23,17:00,yobit
XRL,ATW,2018-02-24,17:00,yobit
TIME,ATW,2018-02-25,17:00,yobit
DCRE,ATW,2018-02-26,17:00,yobit
TIE,ATW,2018-02-27,17:00,yobit
BUM,ATW,2018-02-28,17:00,yobit
REA,ATW,2018-03-01,17:00,yobit
TNT,ATW,2018-03-02,17:00,yobit
SMC,ATW,2018-03-03,17:00,yobit
TDS,ATW,2018-03-04,17:00,yobit
REA,ATW,2018-03-05,17:00,yobit
LDM,ATW,2018-03-06,17:00,yobit
UKG,ATW,2018-03-07,17:01,yobit
NMR,ATW,2018-03-08,17:00,yobit
BLN,ATW,2018-03-09,15:00,yobit
CHSB,ATW,2018-03-11,14:00,yobit
CHSB,ATW,2018-03-12,14:00,yobit
CL,ATW,2018-03-13,14:00,yobit
